insee_code,postal_code,city,populationlatitude,longitude,mayor_first_name,mayor_last_name,mayor_birthdate,first_mandate_date,party
13055,None,Marseille,850636,None,None,Jean-Claude,GAUDIN,1939-10-08,NA,NA
92002,92160,Antony,62012,48.7498937997,2.29904436066,Jean-Yves,SENANT,1946-09-07,2003,UMP-LR
92004,92600,Asnières-sur-Seine,83376,48.915464529,2.28801082145,Manuel,AESCHLIMANN,1964-10-22,1999,UMP-LR
92007,92220,Bagneux,38002,48.7988494711,2.30977111957,Marie-Hélène,AMIABLE,1960-03-14,2004,PCF
92009,92270,Bois-Colombes,28927,48.9156526901,2.26727430129,Yves,REVILLON,1946-05-30,1995,UMP-LR
92012,92100,Boulogne-Billancourt,116220,48.8364966292,2.23867632216,Pierre-Christophe,BAGUET,1955-05-11,2008,UMP-LR
92014,92340,Bourg-la-Reine,19982,48.7804118277,2.31747787876,Jean-Noël,CHEVREAU,1938-12-23,NA,NA
92019,92290,Châtenay-Malabry,32083,48.7683241133,2.26382535631,Georges,SIFFREDI,1956-07-28,1995,UMP-LR
92020,92320,Châtillon,33405,48.8030902828,2.2864012174,Jean-Pierre,SCHOSTECK,1942-03-16,1983,UMP-LR
92022,92370,Chaville,18852,48.8072497774,2.1917994859,Jean-Jacques,GUILLET,1946-10-16,2008,UMP-LR
92023,92140,Clamart,52731,48.7967176819,2.25385173895,Jean-Didier,BERGER,1980-01-23,2014,UMP-LR
92024,92110,Clichy,59458,48.9036376273,2.30599418937,Gilles,CATOIRE,1949-03-03,1985,PS
92025,92700,Colombes,85102,48.9228285289,2.24714560937,Nicole,GOUETA,1937-09-11,2001,UMP-LR
92026,92400,Courbevoie,88530,48.8983884255,2.25522376319,Jacques,KOSSOWSKI,1940-10-11,1995,UMP-LR
92032,92260,Fontenay-aux-Roses,23288,48.7896302863,2.28707483751,Laurent,VASTEL,1959-10-10,2014,DVD
92033,92380,Garches,18118,48.8454061837,2.18760213327,Jacques,GAUTIER,1946-09-18,1989,UMP-LR
92035,92250,La Garenne-Colombes,28297,48.9070465246,2.24485945089,Philippe,JUVIN,1964-02-01,2001,UMP-LR
92036,92230,Gennevilliers,41930,48.9345124152,2.29467414472,Patrice,LECLERC,1963-12-26,2014,PCF
92040,92130,Issy-les-Moulineaux,65326,48.8232529299,2.26429719337,André,SANTINI,1940-10-20,1980,UDI
92044,92300,Levallois-Perret,64629,48.8951336953,2.28682447096,Patrick,BALKANY,1948-08-16,1983,NA
92046,92240,Malakoff,30768,48.8165665198,2.29609038322,Catherine,MARGATE,1946-05-29,1996,PCF
92047,92430,Marnes-la-Coquette,1659,48.830772096,2.16611369469,Christiane,BARODY-WEISS,1948-01-02,2001,DVD
92048,92360,Meudon,45010,48.8040544516,2.22691872954,Hervé,MARSEILLE,1954-08-20,1999,UDI
92049,92120,Montrouge,48710,48.8152695492,2.31739229511,Jean-Loup,METTON,1949-08-18,1994,UDI
92050,92000,Nanterre,89476,48.8962161446,2.2068493546,Patrick,JARRY,1954-05-28,2004,PCF
92051,92200,Neuilly-sur-Seine,61797,48.8855663756,2.26645990318,Jean-Christophe,FROMANTIN,1962-08-30,2008,UDI
92060,92350,Le Plessis-Robinson,28113,48.7805420361,2.25983416504,Philippe,PEMEZEC,1955-09-25,1989,UMP-LR
92062,92800,Puteaux,44683,48.8837267791,2.23798819786,Joëlle,CECCALDI-RAYNAUD,1951-02-09,1969,PS
92063,92500,Rueil-Malmaison,79855,48.8694433502,2.17774350372,Patrick,OLLIER,1944-12-17,2004,UMP-LR
92064,92210,Saint-Cloud,29194,48.8429394128,2.2083054219,Eric,BERDOATI,1964-05-09,2005,UMP-LR
92071,92330,Sceaux,19930,48.7768435541,2.29818849146,Philippe,LAURENT,1954-05-14,2001,UDI
92072,92310,Sèvres,23278,48.8214320054,2.20990136244,Grégoire,DE LA RONCIERE,1967-05-19,2014,DVD
92073,92150,Suresnes,46876,48.8700470804,2.21976930955,Christian,DUPUY,1950-10-24,1983,UMP-LR
92075,92170,Vanves,27022,48.8217649306,2.28743996329,Bernard,GAUDUCHEAU,1955-06-26,2001,UDI
92076,92420,Vaucresson,8612,48.841686797,2.16112497638,Virginie,MICHEL-PAULSEN,1956-12-10,2001,UMP-LR
92077,92410,Ville-d'Avray,10733,48.8215001664,2.17605556891,Denis,BADRE,1943-01-03,1995,MoDem
92078,92390,Villeneuve-la-Garenne,25644,48.9370038707,2.3254720877,Alain-Bernard,BOULANGER,1943-06-27,1999,UMP-LR
